,created,amt_USD
0,2009-07-31,1685.6
1,2009-08-31,60.0
2,2009-09-30,74442.22999999998
3,2009-10-31,282584.33000000013
4,2009-11-30,611179.0199999996
5,2009-12-31,470556.370000001
6,2010-01-31,2696707.1999999937
7,2010-02-28,1932236.2399999977
8,2010-03-31,1801739.6999999927
9,2010-04-30,2122596.42999999
10,2010-05-31,4084875.1999999834
11,2010-06-30,4321929.590000075
12,2010-07-31,5262822.509999876
13,2010-08-31,6496284.780000045
14,2010-09-30,9300646.619999968
15,2010-10-31,11318721.100000096
16,2010-11-30,13701465.070000267
17,2010-12-31,9794051.449999858
18,2011-01-31,21397802.289999783
19,2011-02-28,18696252.99500018
20,2011-03-31,23119010.87200008
21,2011-04-30,21328802.044999417
22,2011-05-31,25815455.47999951
23,2011-06-30,17879603.244999703
24,2011-07-31,14660279.134999955
25,2011-08-31,15578345.620000087
26,2011-09-30,18985503.828000106
27,2011-10-31,18546442.280000035
28,2011-11-30,27868825.28499906
29,2011-12-31,15413299.135000093
30,2012-01-31,27744415.534999847
31,2012-02-29,21964984.417000044
32,2012-03-31,30616556.369000543
33,2012-04-30,25321996.775999274
34,2012-05-31,35146971.80700092
35,2012-06-30,27283589.82500023
36,2012-07-31,22702657.700999662
37,2012-08-31,27700977.419000886
38,2012-09-30,38685293.8679995
39,2012-10-31,50687592.794999965
40,2012-11-30,35949591.57600052
41,2012-12-31,26302198.616999954
42,2013-01-31,41509469.00899852
43,2013-02-28,39907956.63799881
44,2013-03-31,63141257.59699919
45,2013-04-30,70151840.19199798
46,2013-05-31,79455972.91099936
47,2013-06-30,50203308.61599942
48,2013-07-31,35246947.33499919
49,2013-08-31,59856341.63299773
50,2013-09-30,66055240.78699878
51,2013-10-31,40928536.115999244
